,index,assessment,tags,text,trend_id_res0,trend_id_res1,trend_id_res2,trend_id_res3,trend_id_res4,trend_id_res5,trend_id_res6,trend_id_res7,trend_id_res8,trend_id_res9,trend_id_res10,trend_id_res11,trend_id_res12,trend_id_res13,trend_id_res14,trend_id_res15,trend_id_res16,trend_id_res17,trend_id_res18,trend_id_res19,trend_id_res20,trend_id_res21,trend_id_res22,trend_id_res23,trend_id_res24,trend_id_res25,trend_id_res26,trend_id_res27,trend_id_res28,trend_id_res29,trend_id_res30,trend_id_res31,trend_id_res32,trend_id_res33,trend_id_res34,trend_id_res35,trend_id_res36,trend_id_res37,trend_id_res38,trend_id_res39,trend_id_res40,trend_id_res41,trend_id_res42,trend_id_res43,trend_id_res44,trend_id_res45,trend_id_res46,trend_id_res47,trend_id_res48,trend_id_res49
22,8948,2.0,"{DELIVERY,SUPPORT}",Очень очень очень долгая доставка. [NUM] заказов подряд не привозили вовремя,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19895,6.0,"{PRICE,PROMOTIONS}","Удобно, быстро",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2514,4.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS}",Расширить ассортимент товаров,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21973,0.0,{ASSORTMENT},"В смысле ""убрали из заказа""? Я весь заказ ради этих морепродуктов делал!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22759,0.0,"{DELIVERY,SUPPORT,ASSORTMENT}","Доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24605,0.0,"{PRICE,ASSORTMENT}",Дорого,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,608,0.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS,DELIVERY}",…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,24441,3.0,"{PAYMENT,SUPPORT}",Программу надо улучшить,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,24458,1.0,{PAYMENT},"Заказ на сумму от [NUM]₽ это дорого, было бы лучше как было раньше [NUM]₽",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,327,6.0,"{PRODUCTS_QUALITY,PROMOTIONS,PRICE,ASSORTMENT}",Часто стали приезжать просроченные и некачественные продукты,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2274,2.0,{DELIVERY},Раньше доставка была в течение [NUM] мин сейчас стала больше и все время меняется время ожидания .,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2736,3.0,"{PRODUCTS_QUALITY,DELIVERY,SUPPORT}",Не следите за качеством продуктов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,24743,4.0,"{PRICE,DELIVERY,ASSORTMENT}","Если по скидкам и акциям продукты ещё и выходят в нормальной цене, то без них иногда стоят космически. Но самое большое расстройство - это доставка. Проще назвать, сколько раз за год мне доставили в срок [NUM] минут, чем посчитать, сколько раз опаздывали.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5891,6.0,"{PRICE,PROMOTIONS,CATALOG_NAVIGATION}",Быстро,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,26770,0.0,"{SUPPORT,ASSORTMENT,PRODUCTS_QUALITY}","Поддержка по телефону перестала вообще что-либо решать - по всем вопросам посылают в телеграмм. В телеграмме не отвечают уже третий день - сначала пишут что надо [NUM]-[NUM] минут, но никто и за час не подходит - потом это откладывают, потом опять бот и так до б",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,22218,6.0,"{DELIVERY,ASSORTMENT,PRICE,PRODUCTS_QUALITY,PROMOTIONS}","Доставка стала дольше, это огорчает(",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,26193,0.0,{PRODUCTS_QUALITY},Привезли размороженную пюреобразную ягоду,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,23873,2.0,{DELIVERY},Слишком долгая доставка,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,18848,0.0,"{ASSORTMENT,PROMOTIONS,PRICE}",Спасибо!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,26535,6.0,{PRODUCTS_QUALITY},Хотелось бы что бы все напитки были охлажденными. А вы привозите теплыми,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,23464,0.0,{DELIVERY},"Почти всегда заказы опаздывают. Когда звонишь операторам и спрашиваешь почему указано [NUM] минут, а по факту может курьер задержаться на полтора часа, специалисты тыкают в какой-то договор где что-то там прописано написано. Ставьте реальное время доставки",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5974,0.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS,CATALOG_NAVIGATION,PAYMENT,DELIVERY,SUPPORT}","Курьеры как рабы работают у вас , почему их так мало .Ждёшь заказ по часу . Почему их так мало на смене!!!!!!!!!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,144,6.0,"{ASSORTMENT,PRICE,PROMOTIONS,CATALOG_NAVIGATION}","Очень быстрая доставка. Маленький выбор, достаточно высокие цены",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,3762,3.0,"{PRODUCTS_QUALITY,PROMOTIONS,SUPPORT}","Нет никакой системы лояльности к постоянным клиентам. Ответы в чате - шаблонами. Привозят испорченные продукты и просто возвращают деньги после жалобы, даже никакого промокода в качестве извинений.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,23668,1.0,{DELIVERY},"Доставка очень длительная, пришлось долго ждать",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,11562,6.0,"{PRICE,PROMOTIONS,PRODUCTS_QUALITY}","Я думаю о вас хорошо, раньше было лучше. Есть ощущение то что стало дороже, а качество хуже - это касается зелени.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5273,6.0,"{ASSORTMENT,PROMOTIONS,PRICE}",Хороший сервис,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,23483,0.0,{DELIVERY},Оочень долгая доставка! Жду уже более [NUM] минут,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,14873,6.0,"{PRODUCTS_QUALITY,DELIVERY,SUPPORT}","Доставка стала очень долгой - бывает и по полчаса везут. Поднятие цен на доставку тоже не радует. [NUM]-[NUM] ещё нормально, но бывает и [NUM]!!!",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5935,4.0,"{ASSORTMENT,PRICE,PROMOTIONS}","Стоимость сильно выше, картинки не соответствую ассортименту.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,11623,6.0,"{DELIVERY,ASSORTMENT,PRICE,PRODUCTS_QUALITY}","Очень долгая доставка, написано до [NUM] минут, или что курьер будет вот вот у вас, а по итогу доставка в среднем [NUM]-[NUM] минут",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20614,4.0,{DELIVERY},"очень долгая доставка. не смотря на то, что мы находимся возле склада самоката",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,22616,6.0,"{DELIVERY,PRODUCTS_QUALITY,ASSORTMENT}","Очень часто виснет приложение , задерживаются доставки , высокие цены на определенные продукты",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,25793,2.0,"{PRODUCTS_QUALITY,DELIVERY}",Молодцы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,26815,2.0,"{SUPPORT,DELIVERY,PRODUCTS_QUALITY}","Присылаете молочные изделия за день до истечения срока годности, доставка стала нереально долгой, да при этом еще и постоянно огромный спрос",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,26307,2.0,{PRODUCTS_QUALITY},"Продукты практически всегда с почти истёкшим сроком годности . И тут как повезёт , иногда продукт ещё можно употреблять а иногда просто в мусорки испорченные продукты . Пока не откроешь пачку , заметить запах продукта по внешнему виду невозможно",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,22476,3.0,"{DELIVERY,PRICE,ASSORTMENT}","Долгая доставка, часты задержки по времени, в сравнении с пятёрочкой и магнитом цены на [NUM]-[NUM]% выше , хоть раньше разница не была такой существенной",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,24391,2.0,"{PAYMENT,DELIVERY,SUPPORT}","Не всегда есть возможность выйти в магазин. Приходится пользоваться доставкой, неудобно постоянно условно из-за банки газировки набирать товаров еще на [NUM]р",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5657,4.0,{PROMOTIONS},Очень мало промокодов или редко предлагаете товар за [NUM] руб,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,25095,1.0,"{PRICE,PROMOTIONS,CATALOG_NAVIGATION}","Все бы хорошо, если бы не ваше приложение. Сначала я думал что это мой хуавей уже старый, не вытягивает. Но когда я ловил фризы и глюки с непрогоузом картинок на самсунг s[NUM]...... Это печаль",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,12556,3.0,{DELIVERY},Долгая доставка,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,11351,0.0,"{DELIVERY,PRICE,ASSORTMENT,PROMOTIONS}","Все круто,но вот доставка стала постоянно опаздывать",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,24657,6.0,"{PRICE,ASSORTMENT}","Доставка быстрая,но цена на вкусняшки огорчает",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,27009,0.0,,говно,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10521,3.0,{DELIVERY},"Пишите что доставка [NUM] минут,на самом деле все [NUM],и пишется что курьер будет через минуту ждешь [NUM]",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,23939,3.0,{DELIVERY},Доставка часто задерживается,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,26143,0.0,"{PRODUCTS_QUALITY,SUPPORT}",Часто привозят испорченные продукты,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,24282,6.0,{DELIVERY},"вы классные! жаль только, что еда долго едет",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,19262,6.0,{DELIVERY},"Не очень нравится часть доставки, курьеры часто задерживаются и в Яндекс лавке курьеры приветливее",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4488,6.0,"{ASSORTMENT,PRICE,CATALOG_NAVIGATION,DELIVERY,PROMOTIONS}","Хотелось бы, чтобы у нас также появилась доставка не только за [NUM] минут, но и из больших магазинов - был бы больше выбор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6537,3.0,{DELIVERY},"слишком долгая доставка, бывает, что час доставляют",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,24528,6.0,"{PRICE,ASSORTMENT,PAYMENT}",Всё отлично,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,21723,4.0,"{ASSORTMENT,PRODUCTS_QUALITY,PROMOTIONS}","Все очень нравится, но жаль, что частенько заканчивается ассортимент любимых продуктов, например, сырки в бельгийском шоколаде. Фрукты часто либо еще не дозрели, либо с дефектами в виде вмятин, пятен итд. А идея с рецептами в приложении это просто супер!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2539,3.0,"{PRODUCTS_QUALITY,PRICE,PROMOTIONS,ASSORTMENT,DELIVERY,SUPPORT}","Завышена цена, медленные курьеры. Техническая поддержка не всегда отвечает",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,22947,0.0,"{DELIVERY,SUPPORT}",Плохая клиентоориентированность при проблемах и долгих доставках нет никаких промокодов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,24478,4.0,{PAYMENT},Большой порог минимального заказа,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,25323,6.0,"{PRICE,PROMOTIONS}",мяу.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1290,6.0,"{ASSORTMENT,PRICE,PROMOTIONS,CATALOG_NAVIGATION}","Цены на отдельные позиции заметно выросли, ассортимент товаров не поспевает за конкурентами.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,11211,6.0,"{PRICE,PROMOTIONS,PRODUCTS_QUALITY}","Самокат- это классно, но продуктики иногда не вкусненькие",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6767,0.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS,DELIVERY,SUPPORT}","Я думаю, что продавать тухляк и некондицию, как вы это обычно делаете-тупиковый путь, потому что есть Лавка и Озон фреш как минимум. Свое конкурентное преимущество-скорость- вы тоже про****ли. Цены у вас космос, кофе Лебо [NUM] гр [NUM]₽. Лавка форева.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,24583,6.0,"{PRICE,ASSORTMENT,PROMOTIONS}","Раньше было все очень здорово , но маленький ассортимент , сейчас выбора в разы больше , но очень огромные цены",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2686,1.0,"{PRODUCTS_QUALITY,ASSORTMENT,PRICE,PROMOTIONS}","Продукция самокат вся невкусная, но ее будто больше всего. Хотелось бы больше товаров нормальных фирм. Качество продуктов фирмы самокат низкое, цена высокая. Беру иногда от безвыходности. Когда лень идти в магазин. Или долго ждать. Привозят быстро.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
