index,target
24050,35
22358,28
10193,0 36
25972,
21526,0
10373,28
22172,47
4238,12
7298,30
22377,1
21373,0
5662,0
24338,1
417,19
22817,19
22161,42
22137,3 8
20016,1
23033,19
20367,8 12
14842,2 27
26685,28
14646,12
12029,12
22276,2 30
23296,21
22385,2
20418,1
9533,12
23675,
13151,28
25246,8
23200,2
12030,2 3
26134,21
23916,1
5841,27 28
7348,28
11133,0
6591,12
21137,12 28 43
13754,3
7980,18
2407,0 12
22351,2
1333,0
26945,30
23793,16 38
14783,29
25582,12 27 28
24999,12 29
13811,2 8
21868,28
26751,18
24787,20
9204,12 36
23955,3
17334,0 16
24091,19
4153,20
17556,19
213,19
24274,3
4018,3 37
26440,27
4286,12 36
23351,2
16017,0 12
16199,0
20529,1 2 4
11143,19
16495,28
25710,3 27
24635,12
222,10
24457,
24929,2 12
20738,0 36
2208,0 11
23101,2 3
6611,12 27 28
3378,16
9107,16 33
10050,0
421,2 15
20505,0 4
416,0 2 4
20862,28
20836,28
18940,27 30
10210,18
3514,1
23984,16
20662,28
24747,2
25678,27
22382,1
21667,21
24898,19
26492,11 27
26978,30
25134,12
22347,18
20806,1 28 36
21519,
26838,21
20658,42
22568,21
401,0 35
25881,27
7428,
22408,5
23012,3 4 30
15277,0
19509,2 30
18981,1 30
22247,0 27
2953,3
24404,8
1477,0 2 30
21078,
23824,0 8
22840,0 1
3277,18
25156,0
11201,1
26689,23
24681,8
11797,3
23235,2 33
12164,2
21383,1 28
26115,2 3 27
20831,
23198,14
23957,1
9780,12
569,21
1066,3 12
26572,18
8459,
7575,19
15638,
731,2
23063,3
24708,8 10
969,28
13509,0 4 5 30
16551,11 27
18109,18
25018,12
24403,
13065,18
15945,13 31
118,5
18704,28
24865,1 3
21096,
6052,2
26291,27
23070,10
26345,15 27
18859,21
24264,23
3567,2
17262,19 20
27034,18
24052,1 11
22634,27
21692,19
15408,2 30
2316,5
533,1 12
23782,0
12477,
12586,0
23170,16 33
23634,0 2
3769,14
21594,0 30
18666,8 10
20490,0 2
12293,16
1249,14
20576,1 36
20631,2
20842,28
23358,0 1 35
3675,28 42
26242,27
25912,0
25313,12
17949,21
24587,
12275,
9893,1
5985,12
22872,3 5 27
17500,0 30
23429,2
17983,3
14237,27 28 42
15788,3
81,19
22288,
14143,0 16
25668,
26596,0
18376,8 36
6845,0 36
24724,19
21035,19
5253,12 28
1775,0
24076,12
15116,3 30
24712,18
14637,3
11310,
23059,0 27
19912,3
2525,0 2
6907,19
6090,8 10
23863,2
219,0
25451,12
21275,20
168,0 27
6220,28
23451,2
20756,0 8 10
14953,0 12
20464,3
24758,28
20481,16 33
16156,16
2644,0
11466,2
9860,
255,0
22034,
19209,0 28
25642,40
26604,18
910,3 28
21006,12
250,28
6720,2 14
21172,12
26713,30
24023,0
26804,
20818,2
3442,1
22809,16 30
4630,4
1126,1 28
568,48
24732,
25131,8
5450,20
10822,18
22630,1 27
18037,2 12 28
9231,48
2923,4 5
20774,0
24215,1
22020,28
11941,4 5
22066,28
21601,28
7853,1 2 3
26073,
22645,3 27
17848,7 30
1259,
17174,0 2
24523,0 2
12264,19
24563,
12950,2
24273,1
22180,7
488,0 12
20136,28
20600,2
18266,
12844,0 30
6833,0
1522,2
22662,4 5 16
3383,
26420,27
25835,18
17866,
4012,28 30
26243,
22989,0 30
7875,19
335,19
5679,18
22261,0 2
24093,1 2
24947,0 30
6825,12
6860,3 30
10823,12
20636,36
21588,28 48
26013,19
23242,16
22973,4
12618,1 2
7408,2 4
21393,27 28 43
15803,0
24707,12
22245,1
23084,
14845,19
23146,1
21297,18
26294,27
20546,3
27030,10
22592,2 12 36
3213,27
183,19
9375,3
18916,
22738,2
25108,28
26085,19
24746,1 29
1596,28 36
20216,27
6617,2 11
25723,27
25231,12 28
2725,3
21076,12
21525,19
23066,1 30 37
16278,12 28
16353,14 27
22429,2 12 35
16647,30
368,19
25237,27
14784,30
12786,12 28
14798,20
8572,27
18272,7 13
25117,12
22651,1 27
19612,3 27
13721,3
13857,12
24051,14 27 40
23871,1 2
4913,
26196,11 15
19181,0 4
21458,20
17496,29
4096,
24112,19
18570,0 35
12523,12
5017,19
11598,2
11488,30
22716,2
15014,20
21448,2 12
1270,0
15082,3 36
26980,30
5987,12 28
9810,
24414,10
3062,0 12 35
2190,0
2537,28
11738,8
22614,15
25632,1
22757,2
22741,0
13031,1
21224,12 43
25236,27
354,0 1 12
3792,27 28
3894,12
24287,4 5
26985,18
7658,2 3 27
7669,0
25360,
18260,
12622,2 3
19736,2
4053,
14616,1 2
551,30
22732,1 36
12319,0
24225,1
21403,1 28 36
25336,
21872,0
7611,2 4
25554,1 27
19308,0
25736,
23842,2
21616,15 27
20679,28
3992,0 27
22550,2
11508,0 3
22503,1 27
19053,12
3335,12
8185,
21638,28
6654,12
22706,3 12 23
22581,27
23095,2 37
25046,12
14635,2 4 5 30
21147,12
15221,12
371,1
5078,2
3022,18
20571,2
25376,12
16699,
26071,15 30
21800,27 28
22783,0 2
23216,0
7391,28 36
21111,12
7010,19
8802,1 14 27
19024,2 27
14900,0 12
15153,12 28 36
26939,30
16618,0
3321,12 28 43
22619,1 12
1286,2 3
7065,11
345,27
14596,19
9140,0
3602,8
21698,28
4449,2 15
6895,16
23373,2
5904,
21687,27
21950,19
20833,28 43
24658,8 10
2988,12 30
3389,36
26829,2 30
26463,11
19839,12
22653,11 43
26315,27
23585,0
26742,10
25558,1 3 8
26322,27 40
22143,2 30
25672,28
20311,12
20735,0 4 30
22917,0 2
4463,2 14
20040,28
21964,15
24223,1
25424,12
1221,18
8916,0
21956,39
22254,1
5628,12
22263,0
17087,20
10493,1
6732,18
19318,7
21584,19
1425,
25110,
10883,
26803,8
16179,28
23352,3
19735,2 28
25741,30
25133,8 10
22132,2 28
12073,0
10790,19
26077,19
13781,12
2860,18
8907,11
23710,
610,3
12906,20
1208,2
25164,22 23
20618,2 12
13199,20
2142,
9189,0
6763,
9568,1
17885,0
8914,12 27
26002,27
22899,3 16 33
18645,19
7110,2 30
420,4
24797,0 12 30
9392,19
7851,1 16
22671,2 27
22368,0 4
21135,12
394,2
12042,3
22573,0 8
26004,27 30
21789,
23308,
20706,3
8671,14 16
9888,
22452,18
12810,2 3
25837,1 27
24585,12
14500,12 28
4509,0
9624,14
20593,0 2
22803,
14001,12 21
7890,12 16
2882,
13613,14
6305,2 3
4664,28
26279,40
21166,19
25849,27 40
12070,
21312,42
1193,3
22135,
940,21
23430,2
24910,8 10 12
21590,19
18517,
25183,2 12
26159,27 30
25998,11 27
22337,0
25646,1 8
25151,1 12
24767,21
7883,3
3822,0
24936,0
20416,16
26326,27
9418,1
22991,19
3945,12 27
22582,19
25886,1 2
11419,2 4
768,2
24244,2
19988,20
25300,12 43
6689,3
20361,1 8 10
21284,36
22553,19 20
21930,28
24687,12
10265,12 28
20981,12 23
439,12
8576,12 43
23832,
26607,30
26953,27
16350,2
20747,4
6172,2
9236,19
1268,0 36
6826,12
18648,12
24839,12
23042,1
1297,0
25977,27
20306,2 15
4834,
23510,2
24663,28
8315,
17844,1 2
20730,0 28
26488,
15785,12 28
16037,8 10
13789,15
19807,12 27
12564,12
8433,0
15212,42
25991,27
19128,4 7
6821,11
15852,0
25562,1
20525,1
6058,21
22390,1
1836,21
13489,19
24897,8 10
22456,3
22465,20
21372,3
9766,28 29
24048,0
24808,0
23993,0 36
738,21
20052,28
22207,41 47
24836,1
2410,18
16340,2
26102,15
26360,14 27
22096,18
22324,8
594,
17079,12 18 28 43
21054,1
7719,12
4292,0
26030,14 27
6262,2 3
22936,19
15069,3 12
21759,28
19241,0 30
2346,0 2
20702,28
3902,12
25203,4 5
18478,20
22138,27 40
22890,13
22852,3 27
22336,2
15106,0 28 30
24970,12
1224,0
12427,2
21223,12 28
23463,19
20755,0
26443,11 27
26410,27
22725,1
15853,2 3
616,27
22887,1
25693,14 27
20838,
4359,2
17134,19
21049,1 2
22543,2 12
1362,28
8607,21
17774,29
14892,
24926,20
1919,0 2
24177,1
18605,19
396,11 14 30
22659,16
13690,30
21631,12 16 30 37
15091,16
24413,21
13451,13 29
282,19
5288,0 37
14949,30
22443,2
9381,2 3
2805,8
15866,27
18928,19
25951,19
20342,0 30
25170,12
25756,3 12 27
20202,2 4
20427,30
7653,8 12
10106,19
25320,8 10
25602,27
25768,27 40
24955,19
20399,4
21253,12
26857,36
24639,20
1548,1 36
22891,19
24575,12 28
24137,1
19604,12 28
26844,13
8165,28
25715,1 28
22025,28
17503,2 30
25516,19
26881,27
12542,28
22897,21
20400,5
4774,2 3 4
3445,2
7035,12 27
7242,0
23788,0 36
17037,16 27
19233,12
25506,12 36
26105,27 40
8827,12 27 36
20985,
5814,12
20484,2 4 35
7562,30
22774,3 28
19576,1
17956,16
744,1
24073,0 2
47,18
24405,10
25373,12
24600,0 2
22522,0 28
3467,27 28 43
19685,
12307,
21933,20
11166,19
5842,1 2
24531,27 28
25391,
196,1 2 12
7223,30
22533,2
21946,0 35
22048,18
13457,19
12161,2 8
23636,0
11778,12
18125,18
20222,14
22664,2
24094,0
1951,0 2 30 37
24981,12 43
10400,
23457,2 4
22867,27
22826,1 12
22000,12 28
12221,0
46,21
13367,28 43
12473,16
3249,0 8
23876,1
13132,3
18736,1 36
24666,12
26494,27
10767,2 12 28
173,5
20483,2 4
21165,
15794,1
28,5 23
21307,28
5565,0
21953,20
25679,27
410,2 4
23302,2
6396,27 30
24803,16
13180,19
4102,12 27 43
15900,2 4
21125,28
11243,3 12 30
20889,
16085,19
4850,20
21492,30 38
4121,19
25272,19
12440,12
23421,4
22047,18
13401,21
1891,12
129,0 12
13567,27
21332,
22519,2
22192,
11144,30
22551,0
7133,4
6025,18
5740,8
12748,2
16865,28
13615,
4648,1
23046,30
26366,27
20455,4
17071,12
17784,
24393,30
1905,19
1736,
23397,
26570,18
13838,2 4 30
26850,0 30
24798,2 4
22266,0 36
8440,19
2553,30
24718,8 10
22703,3
22772,0 28 36
5441,0 12
17132,16 33
21763,27
26819,16
331,18
19708,1 12 27
22967,16 30
26150,27 30
11766,12 28 43
26457,11
21580,0 12 36
157,3 28
19898,19
25008,28
22458,12 28
22334,0 3 36
4262,1 28
18146,12
5931,48
8149,19
27038,19
20262,0 37
25295,12 43
6909,0
22488,19
16435,16
19298,36
14036,1
23792,1 36
22099,19
26865,16
6862,0
14797,0
1043,0
22740,1
19674,19
11109,0
13538,19
24100,2
15834,19
24294,1 2
3252,8 10
26470,15 40
20809,28
24651,11
423,2 3 12
21671,18
25146,8 10
21796,27
23926,0 30
22229,12
24603,19
4852,0 2
25722,27
14149,1 36
9661,18
1464,0 1
14366,1
23133,3 30
20027,12 23
18313,2 3
23757,1 3
26382,14
22542,
6419,1
11543,2 4
23381,2 4
1472,
26920,12 28
12980,2
6115,0
22600,0 27
15841,
95,4 5 30
21749,15 27 30
22920,30
16254,1 30
24750,1
18506,12 30
6549,16 33
21481,19
25713,1 27
24686,16
777,
17667,2 12 28
15576,12 27
20849,12 28
23267,19
23110,0
26936,21
12884,2
5211,
4294,11
2721,19
14823,2
20929,0 2
7625,30
241,28
7841,12
307,2 11 27 30
16164,16
280,12
4004,27
26236,27
11055,2 4
14379,12 28 43
25950,16 38
21482,19
17578,30
23927,1
22560,3
15351,2 30
26951,7
18039,20
1614,8 12 28
25638,15 40
13017,11
24903,21
26755,18
9815,15 30 40
22875,0
12479,19
21428,
25409,12
26827,0 2 30
5021,16
10640,28
4986,10
1118,0
16687,2
7806,27
26797,21
19421,2
19126,12 28
26368,40
7722,18
23614,0
22313,0
2955,2 3
23249,1
16498,0
9639,27
26327,11
25111,0 30
21058,2 12
20745,16
22992,0 3 30 37
21329,12 28 43
7046,20
23847,0
25949,21
25767,1 2 15 30
322,20
23859,33
11559,0
18251,12
24024,
1153,0 2
21357,19 20
21640,19
10416,5
9512,21
13827,1
26757,18
24314,19
2871,0
13200,2
18952,16
24259,2
26798,30
10573,0 30
21112,27
19184,
15971,2 12 28
20975,18 20
1181,15 30
23669,16 38
18796,
26471,40
14396,2
25978,19
26165,
12364,14 27
15482,8
23183,5
16820,3 36
17423,1
4689,1
22687,3
22144,0
163,12 16 33
22531,2 12
17235,0 2
12901,19
8136,
3012,35
15242,1
5712,2
22097,36
14650,28 29
4271,3
13015,16
8829,1 12 36
6339,23
23765,0
24409,0
21269,0
25268,12
12143,2
19441,0 2 4
26656,18
24719,
4146,1 36
257,1 12 27 36
74,2
6514,3 30
292,28
13582,12 43
24617,12
9483,18 43
11567,2
6722,1
26036,27
26263,27
12562,1 2
25936,19 20
26174,27 30
23915,35
16016,0 2
22983,2
22472,12
20712,12 28
13083,1 3
17910,3 12
26758,23
4054,19
15161,0
16600,
686,19
6632,19
3568,2
15812,
17315,1 2 28
21696,18 27 43
19228,11 12
26650,19
2979,15
25766,2 27 30
15644,2
3239,0 3
11306,0
13633,19
685,12
5857,12
18548,2 3
23922,1 2 12
20220,12
20557,16
4261,0 3
5519,1 2
25154,3
12378,18
1122,27
24611,12
21069,0 36
7882,2
14997,
10302,12 14
25322,12
13814,0
26267,14
4824,19
1600,
25071,
5440,2
27013,20
19431,15
4686,4
12153,30
26076,0 27
20821,1 2 4
11622,16
21273,28
21350,0 1 2
7105,12 27
18595,14 15 30
18687,3 12
7453,
2532,0
25497,12
4,
26581,1 2 36
21703,3 15 37
187,0 2
23892,1 12 16
23823,2
22037,18
26903,28
18569,28
15246,0
5240,0 28
1945,0
1500,12
9048,2
13252,39
25262,8 12
5153,3 16
10856,1 8 10
24859,
25309,28
21092,
5008,
3283,2
21826,0 1
13209,0
18836,42
24692,12 28 47
17768,8 10
14851,7 13
16701,3 37
23155,3
12194,16 33
21140,19 21
25786,14
11281,27
25096,12
17758,1 30
26910,27
19428,
18556,2 27
10229,0 5
24320,18
3387,0
12546,0
23229,2
19876,
26273,12 27
4562,2
16352,2
16846,2
21720,27
17936,27
9744,2
8146,19
135,35 42
24662,12
9139,0 2
16145,
6131,18
24823,0 16
22534,10
20240,0
5566,19
12489,8 10 12
4403,10
25519,12
13382,14
24299,2
24883,1
541,12
2540,2
26579,0 42
15400,0
20501,2
3183,8
11386,0 2
24703,12
13326,22 23
26067,27
24167,3
21277,28
10617,27
26889,25 26
12805,18
16496,18
12584,
23687,2
24308,0
26593,14
15795,0 2
320,27
25687,27
25563,27 28
14278,0 12
26482,27
19056,1 8 10
22869,2
21898,28
26106,27
14420,2
19537,2 3
6268,2 4
12814,1 2
11219,14
16560,0 30
16426,11
1089,0 3
11589,20
13148,48
3244,
10137,0 12
18623,2
20086,28 36
22454,
5999,19
21198,28
17127,3 30
20973,11
1220,18
14864,2
22767,2 36
24964,12
20819,8 10 28
21792,19
26173,14
23186,1 14
22055,18
6343,16
21034,0 3 12 30
5500,21
23126,2
24334,2
9074,19
18773,1
2123,0
21322,12
14335,3 12
23029,
14633,1
9651,11
25570,28
5793,28
15281,1
1146,19 20
12637,27
15622,0
25386,19
21529,19
9983,28
24030,1
4250,21
24346,2
17675,18
22272,0
14267,0
23553,38
6130,19
356,0 28
19474,0
973,2
6376,19
20919,3 12 28
23899,1
7913,27
14148,28
25311,12
10186,1
21460,1 12 28 36
15699,0 12
27000,27
20504,2
7674,18
19569,7 16
25537,20
23682,0
2014,28
8503,0 35
26512,11 15
5954,27
26623,0 2
353,0
84,1 12
2625,19
26750,19
16510,48
26752,20
120,16
1378,2 8
19140,16
21211,19
23550,2
15449,
24781,0
316,3 37
5391,19
22909,0
19104,18
17341,0
25948,12
25571,30
7997,
20542,2
23415,2
21527,19
16257,12
24908,28
13117,2
20718,0 30
18486,15
23631,3 37
21327,12 28
22153,
18552,4 30 37
26714,
13883,16
26902,
10395,2 30
25858,15 27
21391,27 28
22948,19
24932,1
8951,0
26233,27 40
24182,1 3
9243,11
10816,0 2 3
21660,12
15137,1 11
26700,12 28
6512,18
16597,7
3759,11 16
15109,12
644,
26038,30
26033,27
22413,12
17777,30
25809,1 2
26046,11
22895,2
25138,1
26276,40
25579,19
23515,16
24212,2
57,3
7111,2
6149,0 12
22556,1
21102,19
607,8 10
14369,12 28 29
23641,2
61,15 40
4243,2
16580,5
1847,12 23 28 36
14901,28
22080,18
22140,16
5330,4 38
10451,16
24497,12
7884,
17491,1 28
26900,0 30
9969,2
21924,27
5214,0 4 5 30
24542,19
23446,0
22019,28
24260,2
26912,11
17273,15
18400,0
20882,
21815,19
18730,1
21538,7
17390,12
7576,1 4 12
4760,18
12948,
8491,28
4024,12 36
8562,
20537,0 2 4
25417,12 22
24991,19
14613,0 3
8289,12
17275,2
12299,12
20887,2
4513,
23700,0 3
26999,0
13212,30
4580,1
550,18
25155,30
24483,48
21847,
19463,20
21020,19
1971,0
26231,27 30
22905,
22668,1 36
24598,12 28 30
21854,20
19932,19
6693,2
25581,27
26973,7 29
25053,
11740,0 2
24445,
20517,21
26825,21
15492,19
20796,0
21300,43
16318,3 28 37
22426,18
54,28
17916,3 27
23958,2 27
26746,18
6412,1 28 36
25622,40
21899,0
25813,27
25475,12
1414,19
23362,8
26731,
26947,14
30,0 2
25920,0
21337,12
22280,2 30
2814,0 30
153,27
26941,7
14211,28 36
3109,8 10
10778,28
14314,19
25195,12
22058,18
21741,18
24253,8
22307,0
6974,12 28
6435,0
26311,27 40
24305,5
24069,3 37
1914,36
11837,12 28
20384,
25806,1
25422,12 23 28
20541,
22956,0 2
23406,16 38
17838,1
14638,12
6279,
26472,27
21955,3 27 30
21132,
20599,0
15377,8 10
24358,28
18914,2 3
25952,20
9608,8 10 12
18316,19
25079,12
14593,3
21292,28
22024,29
8514,18
1835,0
25697,27
22713,19
21831,4
1180,2 3 4
25296,23
10406,2
690,27
17669,27
23977,1
79,27
24327,5
20759,1 28
8357,0
6804,2 3
12842,0
600,2
23897,1
25312,12 36
23246,0
16075,8
2432,
12790,2 12 30
3905,2 4
10880,4 5
25525,12
6768,0 2
21199,12
25049,12
504,20
26386,27
16008,18
11507,19
21045,12
23115,
23237,
23045,2 3 30
15304,0 27 30
23541,3
19230,0
10408,2
2850,8 12
26145,27
23593,2
22649,0 15
1405,28
20360,16
424,27
18294,3 30
26968,48
21103,48
24892,8
289,
12225,27
25173,2 16 44
22056,28
26648,23 28
3018,0 30 37
